ticket_id,date,customer_segment,channel,subject,description
T020,2024-01-12,SMB,Chat,Confused about how to use calculated fields,I watched the tutorial video but I am still not sure how to create a calculated field that combines revenue and discount data. Can someone walk me through it?
T021,2024-01-13,Enterprise,Email,SSO configuration not working for new subdomain,We recently added a new subdomain for our APAC team. SSO authentication works on the main domain but fails on the new subdomain with a redirect error.
T022,2024-01-13,SMB,Phone,Charged for cancelled subscription,I cancelled my subscription on December 28th and received a confirmation email. I was still charged on January 1st. I need a full refund processed urgently.
T023,2024-01-14,Enterprise,Chat,API rate limits too restrictive for our use case,Our engineering team is hitting the API rate limits during peak processing windows. We need a higher tier limit or dedicated capacity for our enterprise plan.
T024,2024-01-14,SMB,Email,Love the new AI summary feature,The AI-generated executive summary on the weekly report is incredibly useful. Our leadership team now actually reads the reports. This feature alone justifies the subscription cost.
T025,2024-01-15,Enterprise,Phone,Critical - production data breach concern,We noticed unauthorized API calls in our audit log originating from an unrecognized IP address. We need your security team to investigate this immediately.
T026,2024-01-15,SMB,Chat,Feature request: schedule reports by timezone,"We have teams in three timezones and reports all send at server time. It would be great to set a delivery timezone per recipient group. No rush, just a nice-to-have."
T027,2024-01-16,Enterprise,Email,Two-factor authentication codes not arriving,"Our admins have 2FA enabled but SMS codes are delayed by several minutes or never arrive, so they cannot sign in. Started this morning and is blocking access."
T028,2024-01-16,SMB,Phone,How do I filter a report by multiple regions?,I can filter by a single region but I want to select several at once. Is that possible? I could not find it anywhere in the documentation.
T029,2024-01-17,Enterprise,Chat,Refund not reflected on latest statement,You approved a refund two weeks ago but our January statement still shows the original charge and no credit. We need this corrected before month-end close.
T030,2024-01-17,SMB,Email,Dashboard takes 40 seconds to load every morning,"The main dashboard is extremely slow on the first load of the day, often 40 or more seconds. Later loads are fine. It is becoming a daily frustration for the team."
T031,2024-01-18,Enterprise,Phone,Need role-based permissions for analysts vs admins,Right now everyone has full edit access. We need a read-only analyst role so junior staff cannot change shared dashboards. This is a governance gap for us.
T032,2024-01-18,SMB,Chat,Possible exposure of API key in shared link,One of our team members may have pasted an API key into a shared dashboard link. Can you help us rotate the key and check for any misuse right away?
T033,2024-01-19,Enterprise,Email,Webhook events dropping intermittently,About 10 percent of our webhook events are not being delivered to our endpoint. We have confirmed our endpoint is up. This is affecting downstream automation.
T034,2024-01-19,SMB,Email,Thanks for the quick onboarding call,The onboarding specialist was patient and thorough. We were up and running in a day. Just wanted to share some positive feedback about the experience.
T035,2024-01-20,Enterprise,Chat,Feature request: export dashboards to PDF on a schedule,We manually export dashboards to PDF for our board deck every month. An automated scheduled PDF export would save our team hours of repetitive work.
T036,2024-01-20,SMB,Phone,Where do I change my account email address?,I need to update the email on my account to a new work address but I cannot find the setting anywhere. Can you point me to the right place?
T037,2024-01-21,Enterprise,Email,Invoice tax calculation looks incorrect,Our latest invoice applied a tax rate that does not match our billing region. We think we are being overcharged on VAT. Please review and correct if needed.
T038,2024-01-21,SMB,Chat,Report widgets freeze when applying filters,Whenever I apply more than two filters at once the widgets freeze and I have to reload the page. It happens every time on Chrome.
T039,2024-01-22,Enterprise,Phone,SSO users provisioned with wrong default role,New users coming in through SSO are getting admin rights by default instead of the viewer role we configured. This is a security concern we need fixed.
T040,2024-01-22,SMB,Email,Is my data encrypted at rest?,Our security team is doing a vendor review and asked whether customer data is encrypted at rest and in transit. Where can I find documentation on this?
T041,2024-01-23,Enterprise,Chat,Cannot log in after email domain migration,We migrated our corporate email domain and now none of our users can log in. The system does not recognize the new addresses and the whole team is blocked.
T042,2024-01-23,SMB,Phone,Feature request: saved filter presets,It would be helpful to save a set of filters as a named preset so I do not have to reconfigure them every session. Minor thing but would help daily use.
T043,2024-01-24,Enterprise,Email,API returning 500 errors on bulk endpoint,The bulk import endpoint has been returning intermittent 500 errors since yesterday afternoon. Our nightly load partially failed as a result of this.
T044,2024-01-24,SMB,Chat,How do I share a dashboard with an external client?,I want to give a client view-only access to one dashboard without giving them a full account. I am not sure how to set that up.
T045,2024-01-25,Enterprise,Phone,Numbers in export do not match the dashboard,The totals in the CSV export are different from what the dashboard shows for the same date range. Our finance team flagged the discrepancy this morning.
T046,2024-01-25,SMB,Email,Really impressed with the new mobile app,"The redesigned mobile app is a huge improvement, much faster and easier to navigate. Great job to the whole product team on this release."
T047,2024-01-26,Enterprise,Chat,Add new user is failing with seat limit reached,"We purchased 100 seats but the system says we have hit our limit at 85 users, so we cannot add new team members. Please correct our seat count."
T048,2024-01-26,SMB,Email,Feature request: weekly digest email,A short weekly email digest of the key metric changes would be great for staying on top of things without logging in every single day.
T049,2024-01-27,Enterprise,Phone,Audit log retention shorter than contracted,Our contract specifies 12 months of audit log retention but we can only see 90 days in the console. This is a compliance issue for our upcoming audit.
T050,2024-01-27,SMB,Chat,Slow performance exporting large PDF reports,Exporting a report with many pages to PDF takes several minutes and sometimes times out entirely. Smaller reports export fine.
